model,panel,panel_order,method,params,n_wsis,n_tiles,wsis_source,dim,regime,corpus,tcga_exposed,disclosed,disclosed_sources,source_marker,corpus_domains,prov_group,prov_order,prov_cell_override,prov_cell_markers,cite,parent_model,variant_role,adaptation,family,family_order,plot_order,training_run,shared_corpus,institutional_domains,published_name
Midnight-12k,tile,11,DINOv2 (var.),$1.1$B,$12$k,$384$M,card,$3072$,vision-only,\textbf{TCGA (public)},True,yes,TCGA only,,tcga,Midnight-12k,1,,,midnight,,,,midnight,0,15,,,,
Prost40M,tile,12,DINO,$22$M,$2$k,${\sim}40$M,card,$384$,vision-only,\textbf{TCGA-PRAD + LEOPARD},True,yes,TCGA-PRAD + LEOPARD/RUMC (prostate),,tcga,Prost40M,6,ID:sec|ID:sec|ID:sec|ID:,,grisi2026bcr,,,,prost,0,18,,,,
Phikon,tile,13,iBOT,$86$M,$6$k,$43.3$M,card,$768$,vision-only,\textbf{TCGA (public)},True,yes,TCGA only,,tcga,Phikon,2,,,phikon,,,,phikon,0,10,,,,
Phikon-v2,tile,14,DINOv2,$307$M,${\sim}58$k,${\sim}456$M,card,$1024$,vision-only,\textbf{PanCancer-XL (incl.\ TCGA)},True,yes,"TCGA, CPTAC, GTEx",,tcga,Phikon-v2,3,,,phikonv2,,,,phikon,1,9,,,,
Hibou-L,tile,15,DINOv2,$307$M,${>}1$M,$1.2$B,card,$1024$,vision-only,HistAI (prop.),False,no,HistAI,,,"Hibou-L, Hibou-B",18,,,hibou,,,,hibou,0,16,,,,
Hibou-B,tile,16,DINOv2,$86$M,${>}1$M,$512$M,card,$768$,vision-only,HistAI (prop.),False,no,HistAI,,,"Hibou-L, Hibou-B",18,,,hibou,,,,hibou,1,17,,,,
mSTAR,tile,17,distilled (UNI),$307$M,"$11{,}765$",${>}116$M,card,$1024$,vision-only,\textbf{TCGA (self-taught)},True,yes,"TCGA (WSIs, reports, RNA-Seq)",,tcga,mSTAR,9,,,mstar,,,,mstar,0,19,,,,
GPFM,tile,18,distilled (multi-expert),$307$M,"$72{,}280$",$190$M,card,$1024$,vision-only,"\textbf{33 public (TCGA, CAMELYON)}",True,yes,"33 public datasets (TCGA, CPTAC, GTEx, CAMELYON16/17, PANDA, \ldots)",,tcga;camelyon;panda,GPFM,10,,Camelyon:par;PANDA:par,gpfm,,,,gpfm,0,20,,,,
MUSK,tile,19,vision--language,$307$M,${\sim}33$k,$50$M,card,$2048$,VLFM,\textbf{TCGA $+$ PMC-OA $+$ Quilt-1M},True,yes,TCGA (images); PubMed Central OA (text); Quilt-1M $+$ PathAsst (pairs),,tcga,MUSK,11,,,musk,,,,musk,0,21,,,,
GenBio-PathFM,tile,20,JEDI (DINO$+$JEPA),$1.13$B,${\sim}177$k,${\sim}400$M,card,$4608$,vision-only,\textbf{HistAI $+$ TCGA $+$ GTEx $+$ REG},True,yes,"HistAI, TCGA, GTEx, REG challenge",,tcga,GenBio-PathFM,12,,,genbiopathfm,,,,genbio,0,22,,,,
RudolfV 2,tile,21,DINOv2,$1.1$B,${>}300$k,n/d,card,$3072$,vision-only,Charit\'e + LMU,False,yes,Charite + LMU institutional corpus (>300k WSIs; tiles undisclosed),,,RudolfV 2,21,,,rudolfv2,,teacher,,rudolfv2,0,23,rudolfv2-family-2026,rudolfv2-charite-lmu,charite,RudolfV-2
RudolfV 2-B,tile,22,DINOv2,$86$M,${>}300$k,n/d,card,$1536$,vision-only,Charit\'e + LMU,False,yes,Charite + LMU institutional corpus (>300k WSIs; tiles undisclosed),,,RudolfV 2,21,,,rudolfv2,RudolfV 2,distilled-student,,rudolfv2,1,24,rudolfv2-family-2026,rudolfv2-charite-lmu,charite,RudolfV-2-B
RudolfV 2-S,tile,23,DINOv2,$22$M,${>}300$k,n/d,card,$768$,vision-only,Charit\'e + LMU,False,yes,Charite + LMU institutional corpus (>300k WSIs; tiles undisclosed),,,RudolfV 2,21,,,rudolfv2,RudolfV 2,distilled-student,,rudolfv2,2,25,rudolfv2-family-2026,rudolfv2-charite-lmu,charite,RudolfV-2-S
Mascaret,tile,24,DINOv2 (var.),$1.1$B,$12$k,$384$M,card,$1536$,vision-only,\textbf{TCGA (public)},True,yes,TCGA only,,tcga,Mascaret,24,,,filiot2026robustifying,Midnight-12k,robustness-finetune,acquisition-robustness,waiv,0,26,,,,
Phaet,tile,25,DINOv2,$307$M,${\sim}58$k,${\sim}456$M,card,$1024$,vision-only,\textbf{PanCancer-XL (incl.\ TCGA)},True,yes,"TCGA, CPTAC, GTEx",,tcga,Phaet,25,,,filiot2026robustifying,Phikon-v2,robustness-finetune,acquisition-robustness,waiv,1,27,,,,
DINOv2-B,tile,26,DINOv2,$86$M,n/a,n/a,card,$768$,vision-only,LVD-142M (natural images),False,yes,"LVD-142M: ImageNet-22k/1k, Google Landmarks $+$ web-crawl retrieval",,,DINOv2-B,13,,,oquab2024,,,,dinov2,0,28,,,,
PRISM,slide,1,Perceiver,$99$M$^{\ast}$,$587$k,n/d,card,$1280$,vision-only,Paige (prop.),False,no,Paige,,,PRISM,19,,,prism,,,,paige,1,3,,,,
TITAN,slide,2,CoCa,$48.5$M,$336$k,n/d,card,$768$,VLFM,MGB (prop.),False,no,Mass General Brigham,,,TITAN,20,,,titan,,,,conch,1,8,,,,
Prov-GigaPath,slide,3,LongNet,$86.3$M$^{\ast}$,$171$k,$1.3$B,card,$768$,vision-only,Providence (prop.),False,no,Providence,,,Prov-GigaPath,17,,,Xu2024-gj,,,,gigapath,0,14,,,,
MOOZY,slide,4,grid ViT,$85.8$M$^{\ddagger}$,$77$k$^{\ddagger}$,$1.7$B,card,$768$,vision-only,"\textbf{56 public (TCGA, PANDA)}",True,yes,"TCGA, CPTAC, CAMELYON17, PANDA ($56$ public sets)",,tcga;camelyon;panda,MOOZY,7,,PANDA:par,moozy,,,,moo,0,,,,,
